Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G72680	NA	NA	1.2	2.7	NA	NA				
AT1G72690	NA	1.5	2.4	4	NA	NA				
AT1G72700	1.7	1.6	NA	-2.2	NA	NA				
AT1G72710	NA	1.2	1.5	1.7	NA	NA				
AT1G72720	2.2	1.6	NA	NA	NA	-1.1				
AT1G72730	-1.3	-2.1	-2.8	-4.8	NA	NA	1.2			
AT1G72770	1.8	2.8	3.4	4.1	NA	NA				
AT1G72790	NA	NA	NA	-1.2	NA	NA				
AT1G72800	NA	2.6	3.5	3.8	NA	NA				
AT1G72810	-2.6	-3.7	-3.9	-4.3	NA	NA				
AT1G72840	1.4	NA	NA	NA	NA	NA				
AT1G72852	NA	NA	NA	3.8	NA	NA				
AT1G72900	NA	NA	2.7	NA	NA	NA	-1.1			
AT1G72940	NA	3.4	4.4	4.2	NA	NA	-1.5			
AT1G72950	NA	NA	NA	NA	NA	NA		1.6		
AT1G72970	-1.2	-2.6	-2.6	-1.2	NA	NA				
AT1G72990	1.1	1.1	1.3	1.1	NA	NA				
AT1G73000	NA	NA	NA	3.7	NA	NA				
AT1G73010	5.2	6.9	7.8	9.9	NA	NA				
AT1G73030	NA	NA	NA	1.2	NA	NA				
AT1G73040	NA	3.3	3.5	NA	NA	NA				
AT1G73050	-3.1	-3.9	-3.4	-4.2	NA	NA				
AT1G73066	NA	NA	1.1	NA	NA	NA				
AT1G73090	-1.5	-1.9	-1.3	NA	NA	NA				
AT1G73100	-1.4	-1.7	-1.7	-2.1	NA	NA				
AT1G73110	NA	-2.2	-2.5	-3.8	NA	NA				
AT1G73120	2.6	2.5	NA	NA	1.1	1.7	2.9	2		
AT1G73130	NA	NA	1.1	1.4	NA	NA				
AT1G73170	NA	NA	NA	-1.1	NA	NA				
AT1G73177	NA	NA	-1.2	-1.1	NA	NA				
AT1G73190	11.6	13	13.6	14.8	2.6	NA				
AT1G73210	3.4	4.1	4.4	3.5	1.1	NA				
AT1G73220	3.4	3.5	1.3	-2.6	NA	NA		1.3		
AT1G73230	-2.2	-2.4	-1.8	-1.3	NA	NA				
AT1G73250	-1.5	-1.6	-1.6	-4.2	NA	NA				
AT1G73290	5.6	7.6	NA	NA	NA	NA				
AT1G73310	NA	NA	1.2	NA	NA	NA				
AT1G73360	NA	NA	-1.3	-4	NA	NA				
AT1G73370	NA	-2.6	-2.6	-4.4	NA	NA				
AT1G73380	NA	1.2	1.3	1.8	NA	NA				
AT1G73410	NA	4.3	NA	NA	NA	NA				
AT1G73445	NA	NA	NA	2.5	NA	NA				
AT1G73470	NA	-1.1	-1.2	-1.9	NA	NA				
AT1G73500	-1.5	NA	NA	2.5	NA	NA				
AT1G73530	-2.5	-3.7	-4.6	-4.9	NA	NA				
AT1G73540	NA	1.5	2.2	NA	NA	NA		1.6		
AT1G73550	NA	-2.2	-3.6	-6.5	NA	NA				
AT1G73560	NA	NA	NA	-4.2	NA	NA				
AT1G73570	NA	NA	NA	-4.3	NA	NA				
AT1G73590	NA	NA	NA	-1.6	NA	NA				
AT1G73600	NA	-3.1	-4.2	-4.3	NA	NA				
AT1G73620	-5.2	-7.3	-8	-8.4	NA	NA				
AT1G73640	NA	-3.7	-2.8	-3.9	NA	NA				
AT1G73650	NA	1.2	1.2	NA	NA	NA				
AT1G73655	NA	-2	-2.3	-4.2	NA	NA				
AT1G73680	1.9	2.2	2.9	2.5	1.1	NA				
AT1G73687	NA	NA	NA	2.7	NA	NA				
AT1G73690	-2.2	-1.7	-1.4	-1.5	NA	NA				
AT1G73710	NA	NA	NA	1.2	NA	NA				
AT1G73730	NA	NA	1.3	1.9	NA	NA				
AT1G73760	-1.3	-1.7	-2.5	-4.7	NA	NA				
AT1G73770	-1.1	NA	NA	NA	NA	NA				
AT1G73790	NA	NA	NA	1.3	NA	NA				
AT1G73850	3.6	3.9	2.9	NA	NA	NA	1.1	1.2		
AT1G73860	NA	NA	NA	NA	NA	2.3	2.2			1.2
AT1G73870	-4.5	-6.4	-6.7	-6.7	NA	NA				
AT1G73880	-1.1	NA	NA	1.3	NA	NA	-1.1			
AT1G73885	-2.5	-3.4	-3.8	-2.1	NA	NA				
AT1G73890	-1.7	-1.5	NA	NA	NA	NA				
AT1G73910	NA	NA	NA	-5	NA	NA				
AT1G73920	NA	-1.2	NA	NA	NA	NA				
AT1G73940	-1.7	-2	-2	-1.8	NA	NA				
AT1G73950	NA	1.4	1.7	1.7	NA	NA				
AT1G73960	NA	NA	NA	1.5	NA	NA				
AT1G73970	NA	1.1	NA	NA	NA	NA				
AT1G73980	1.8	1.8	1.7	1.3	NA	NA				
AT1G74010	-2.3	NA	-4.4	-3.6	NA	NA				
AT1G74020	2.7	3.5	3.2	3.1	NA	NA				
AT1G74030	NA	NA	-1.7	-5.1	NA	NA				
AT1G74050	-1.3	-1.6	-1.5	-2	NA	NA				
AT1G74060	-1.3	-1.7	-1.7	-2.2	NA	NA				
AT1G74070	NA	-1.3	-1.9	-4.3	NA	NA				
AT1G74088	1.2	1.2	NA	NA	NA	NA				
AT1G74090	NA	NA	-1.9	-3.6	NA	NA				
AT1G74100	NA	NA	-1.2	NA	NA	NA				
AT1G74130	3.1	3.8	2.3	NA	NA	NA				
AT1G74140	NA	NA	NA	NA	NA	2.6	6.1	5.2	5.3	
AT1G74150	NA	NA	2	2.3	NA	NA	-2.7	-2.8		
AT1G74160	1.1	2.5	3	3	NA	NA				
AT1G74200	NA	1.3	1.7	1.5	NA	NA				
AT1G74240	-1.1	NA	NA	NA	NA	NA				
AT1G74250	NA	NA	1.1	1.7	NA	NA				
AT1G74260	-1.8	-1.6	-1.5	-1.2	NA	NA				
AT1G74270	-1.2	-1.8	-1.6	-1.3	NA	NA				
AT1G74280	1.1	1.5	1.7	2.3	NA	NA				
AT1G74300	5.1	5.7	5.6	3.9	1.8	NA				
AT1G74310	3.1	3.6	4.4	6.8	1.2	NA				
AT1G74320	NA	NA	NA	1.2	NA	NA				
AT1G74360	2.6	4.1	4	4	NA	1.3	1.4	1.4		
AT1G74370	-2.1	-2.5	NA	3.3	NA	NA				
AT1G74380	1.1	1.3	1.4	1.8	NA	NA				
AT1G74390	NA	NA	-1.5	-3.2	NA	NA				
AT1G74400	-1.7	-1.6	NA	NA	NA	NA				
AT1G74410	2.9	4.7	5.4	6.3	NA	NA				
AT1G74420	NA	NA	NA	-3.5	NA	NA				
AT1G74430	-2	-2.8	-4.3	-5.8	NA	NA				
AT1G74450	NA	1.1	1.3	NA	NA	NA				
AT1G74453	NA	NA	NA	-1.1	NA	NA				
AT1G74456	NA	NA	1.2	NA	NA	NA				
AT1G74460	NA	2.5	NA	NA	NA	NA				
AT1G74470	NA	-1.1	-2.5	-6.5	NA	NA				
AT1G74490	NA	NA	NA	-2.5	NA	NA				
AT1G74500	-1.4	-3.1	-2.8	-1.7	NA	NA				
AT1G74510	NA	NA	NA	-1.1	NA	NA				
AT1G74520	1.2	1.5	1.3	NA	NA	NA				
AT1G74550	-3	-3.2	NA	NA	NA	NA				
AT1G74560	-1.8	-1.5	-1.1	-1.6	NA	NA				
AT1G74580	NA	NA	NA	-1.3	NA	NA				
AT1G74670	7.8	7.9	7.4	5.1	2.6	NA	1.1	1.6		
AT1G74680	1.3	1.3	1.4	NA	NA	NA				
AT1G74690	NA	NA	NA	-1.4	NA	NA				
AT1G74710	-2.7	-5.2	NA	4.3	NA	NA		-1.5		
AT1G74720	NA	NA	NA	1.1	NA	NA				
AT1G74730	-1.8	-2.5	-2.6	-3.4	NA	NA				
AT1G74740	NA	NA	NA	2.8	NA	NA				
AT1G74750	-1.3	-1.2	NA	NA	NA	NA				
AT1G74780	2.2	2.7	3.3	4	NA	NA				
AT1G74790	NA	NA	NA	-1.1	NA	NA				
AT1G74800	NA	NA	NA	-1.6	NA	NA				
AT1G74840	NA	NA	NA	-1.8	NA	NA				
AT1G74850	-1.6	-1.9	-2.3	-2.4	NA	NA				
AT1G74860	1.3	1.7	1.9	2.2	NA	NA				
AT1G74870	NA	NA	-2.6	-4.6	NA	NA	1.5			
AT1G74880	NA	-2	-4.6	-6.4	NA	NA	1.3			
AT1G74890	-2.2	-3	-4	-3.8	NA	NA				
AT1G74910	NA	-1.3	-1.2	-1.7	NA	NA				
AT1G74920	NA	NA	NA	-1.2	NA	NA				
AT1G74930	NA	1.7	1.9	NA	NA	NA		1.1		
AT1G74940	NA	-2.4	-2.3	-5.6	NA	NA				
AT1G74950	NA	1.1	1.2	NA	NA	NA				
AT1G74960	NA	NA	NA	-2.6	NA	NA				
AT1G74970	-2.3	-3.3	-4	-4.6	NA	NA				
AT1G74990	NA	NA	NA	NA	NA	3.6	4.1	2.8		
AT1G75000	1.6	2	1.8	2.3	NA	NA				
AT1G75020	NA	1.3	1.6	1.9	NA	NA				
AT1G75060	NA	-2.2	-3.7	-7.6	NA	NA				
AT1G75080	NA	NA	-1.4	-3.1	NA	NA				
AT1G75090	-1.2	-3	-4.5	-7	NA	NA				
AT1G75100	1.3	1.4	NA	NA	NA	NA				
AT1G75110	1.9	2	1.9	NA	NA	NA				
AT1G75120	-4.4	-4.1	-3.7	-4.1	NA	NA				
AT1G75150	-2.8	-4.6	-4.5	-1.8	NA	NA				
AT1G75160	NA	NA	NA	NA	NA	1.5	1.4			
AT1G75163	2.5	2.7	3.5	2.8	NA	NA				
AT1G75166	NA	NA	1.5	1.5	NA	NA				
AT1G75180	NA	-1.5	-1.6	-2.1	NA	NA				
AT1G75190	-4.6	-5.8	-6	-4.8	-1.1	NA				
AT1G75200	-1.8	-1.9	-1.3	NA	NA	NA				
AT1G75220	1.1	NA	NA	NA	NA	NA				
AT1G75240	NA	-1.1	-1.6	-3	NA	NA				
AT1G75270	NA	-1.4	-1.4	-2.3	NA	NA				
AT1G75280	3.2	4.3	5	5	1.7	NA				
AT1G75290	NA	2.6	4.4	6.1	NA	1.6				
AT1G75295	1.8	1.8	1.8	1.9	NA	NA				
AT1G75310	1.3	1.6	1.8	1.8	NA	NA				
AT1G75330	-1.7	-1.8	-1.7	-1.5	NA	NA				
AT1G75335	-1.3	NA	NA	NA	NA	NA				
AT1G75340	NA	NA	-1.2	-1.7	NA	NA				
AT1G75350	-2.2	-3.3	-3	-2.5	NA	NA				
AT1G75370	1.2	1.9	2.3	3.2	NA	NA				
AT1G75380	1.3	1.4	1.6	2.6	NA	NA				
AT1G75400	NA	1.4	1.6	2	NA	NA				
AT1G75410	NA	1.3	1.8	NA	NA	NA				
AT1G75420	1.3	1.4	1.5	1.3	NA	NA				
AT1G75430	-6.7	-6.8	-8.2	-9.1	-1.7	NA				
AT1G75440	NA	NA	1.2	2	NA	NA				
AT1G75450	2.1	2.8	2.7	2.7	NA	NA				
AT1G75460	NA	-1.3	-3.3	-3.3	1.4	NA				
AT1G75490	7.6	10.2	11.8	14	NA	NA				
AT1G75500	NA	-1.4	-3.3	-5.3	NA	NA	1.4			
AT1G75520	2	2.3	NA	NA	NA	NA				
AT1G75540	2.7	3.4	4	4.8	NA	NA				
AT1G75600	-2.7	NA	NA	NA	NA	NA				
AT1G75640	NA	-1.8	-4.6	-8.2	NA	NA	1.5			
AT1G75660	NA	NA	NA	1.4	NA	NA				
AT1G75670	-1.8	-1.3	NA	NA	NA	NA				
AT1G75680	NA	NA	NA	-1.9	NA	NA				
AT1G75690	-1.4	-2.9	-3.2	-5.6	NA	NA				
AT1G75710	NA	NA	NA	-3	NA	NA				
AT1G75720	NA	4.4	4.9	NA	NA	NA				
AT1G75730	2	1.2	NA	-2.9	NA	NA	1.1			
AT1G75750	-2.5	NA	-5.3	-4.5	NA	NA				
AT1G75770	NA	1.2	NA	1.2	NA	NA				
AT1G75780	NA	-1.4	-3.8	-4.7	NA	NA				
AT1G75800	NA	NA	NA	1.2	NA	NA				
AT1G75810	2.7	4.2	4.3	5.7	NA	NA				
AT1G75830	NA	NA	8.2	NA	NA	NA				
AT1G75840	-1.6	-2.4	-2.3	-1.5	NA	NA				
AT1G75850	1.5	1.5	1.6	1.3	NA	NA				
AT1G75860	NA	NA	1.5	1.8	NA	NA				
AT1G75900	NA	NA	NA	2	NA	NA				
AT1G75960	1.6	1.7	1.6	1.7	NA	NA				
AT1G75990	NA	NA	-1.1	-1.4	NA	NA				
AT1G76010	-1.3	-1.1	NA	NA	NA	NA				
AT1G76020	2.7	3.6	3.6	3.8	NA	NA				
AT1G76040	2.8	2.7	2	3	NA	NA	1.4			
AT1G76060	NA	NA	NA	1.7	NA	NA				
AT1G76070	NA	NA	NA	4.2	NA	NA				
AT1G76080	NA	-2.8	-5	NA	NA	NA				
AT1G76090	3.8	3.7	3.1	2.7	1.4	NA				
AT1G76100	-1.6	-6.2	-8.2	-9	NA	NA	1.3			
AT1G76110	-3.1	-4.1	-4.1	-3.9	NA	1.1				
AT1G76120	-1.5	-1.6	-1.4	-1.6	NA	NA				
AT1G76130	2.4	2.8	3.2	4.1	NA	NA				
AT1G76150	NA	1.3	1.4	1.8	NA	NA				
AT1G76160	2.7	3.9	3.9	1.9	NA	NA				
AT1G76170	NA	NA	1.2	1.2	NA	NA				
AT1G76180	-1.7	NA	-2	-5.3	NA	NA				
AT1G76185	NA	NA	1.4	1.8	NA	NA				
AT1G76220	2.5	NA	NA	NA	NA	NA				
AT1G76230	NA	4.4	NA	NA	NA	NA				
AT1G76260	NA	-1.2	-1.4	-2.8	NA	NA				
AT1G76270	1.3	1.1	NA	NA	NA	NA				
AT1G76290	-3	NA	NA	-4.5	NA	NA				
AT1G76300	-1.9	-1.7	-1.2	NA	NA	NA				
AT1G76310	-2.7	-4.7	-6	-7.6	NA	NA				
AT1G76360	4	5.9	6.3	6.4	NA	NA				
AT1G76370	-2	-2.9	-2.7	-3.7	NA	NA				
AT1G76390	NA	2.3	2.9	3.4	NA	NA				
AT1G76400	NA	NA	NA	-2.6	NA	NA				
AT1G76405	-1.4	-2.2	-3.4	-5.9	NA	NA				
AT1G76420	-1.2	-2.1	-2.7	-6.7	NA	NA				
AT1G76440	NA	-1.1	-1.1	-1.3	NA	NA				
AT1G76450	NA	NA	-1.1	-2.4	NA	NA				
AT1G76460	1.2	1.5	1.6	1.6	NA	NA				
AT1G76470	1.1	NA	NA	-4.9	NA	NA		1.8		
AT1G76480	NA	NA	NA	5.1	NA	NA				
AT1G76500	-1.4	-1.5	-2	-2.1	NA	NA				
AT1G76520	-1.5	-1.9	NA	NA	NA	2.3	2.9	2.1	1.1	1.6
AT1G76540	-2.4	-4.6	-6.4	-7.1	NA	NA	1.1			
AT1G76550	NA	NA	-2.3	-5.1	NA	NA				
AT1G76560	-1.2	-1.7	NA	1.3	NA	NA				
AT1G76570	1.2	3.1	3.6	4.1	NA	NA				
AT1G76580	1.4	1.7	2.1	2.4	NA	NA				
AT1G76590	NA	5.9	7.9	9.8	NA	NA				
AT1G76600	NA	NA	1.7	1.2	NA	1.1		1.6		
AT1G76610	NA	NA	NA	-3.9	NA	NA				
AT1G76620	2	1.9	1.8	NA	NA	NA				
AT1G76630	NA	NA	1.1	NA	NA	NA				
AT1G76650	-1.7	NA	NA	-3	NA	NA	-1.4			
AT1G76670	1.2	1.6	1.7	1.3	NA	NA				
AT1G76680	NA	NA	4.6	9.7	NA	NA		-2		
AT1G76690	NA	NA	2.7	NA	NA	NA	-2.1			
AT1G76700	NA	1.4	1.8	2.6	NA	NA				
AT1G76705	NA	2.7	4.2	5.8	NA	NA				
AT1G76720	NA	1.1	1.8	1.5	NA	NA				
AT1G76730	NA	-1.5	-2.7	-5.1	NA	NA				
AT1G76740	-2.4	-4.8	-7.1	-8.9	NA	NA				
AT1G76760	-1.2	-1.1	NA	NA	NA	NA				
AT1G76770	NA	5	4.2	NA	NA	NA				
AT1G76790	NA	NA	-1.8	-4.2	NA	NA				
AT1G76820	NA	NA	1.9	3	NA	NA				
AT1G76850	1.1	1.2	1.3	1.2	NA	NA				
AT1G76870	NA	-1.2	-2	-2.8	NA	NA				
AT1G76880	1.2	1.6	1.5	1.2	NA	NA				
AT1G76900	1.6	1.7	1.4	NA	NA	NA				
AT1G76920	-1.1	-1.6	-1.8	-2.9	NA	NA				
AT1G76955	NA	NA	NA	4.4	NA	NA				
AT1G76970	NA	1.3	1.8	2	NA	NA				
AT1G76980	-1.5	NA	1.5	3.1	NA	NA				
AT1G76990	1.6	3.4	4.1	4.5	NA	NA				
AT1G76994	NA	NA	NA	4.6	NA	NA				
AT1G77000	2	2.8	4.1	6.2	NA	NA	-1.3			
AT1G77010	-1.4	NA	NA	NA	NA	NA				
AT1G77030	-2	-1.6	-1.2	NA	NA	NA				
AT1G77090	1.5	1.4	1.6	2.2	NA	NA				
AT1G77100	-3.4	-2.7	NA	2	-1.5	NA				
AT1G77110	-3.2	-4	-4.6	-6.4	NA	NA				
AT1G77120	NA	1.2	2.2	4.2	NA	NA				
AT1G77122	-2.3	-3.2	-3.1	-2.2	NA	NA				
AT1G77130	NA	1.2	1.6	1.9	NA	NA				
AT1G77170	-1.7	NA	NA	NA	NA	NA				
AT1G77200	2.1	1.2	NA	NA	NA	NA				
AT1G77220	1.2	1.6	1.9	1.8	NA	NA				
AT1G77230	NA	NA	NA	1.2	NA	NA				
AT1G77250	NA	-1.2	NA	-1.2	NA	NA				
AT1G77260	1.5	1.9	2	2.3	NA	NA				
AT1G77270	NA	NA	-1.7	-2.8	NA	NA				
AT1G77280	1.8	2.2	2.2	2.1	NA	NA				
AT1G77290	NA	NA	1.3	1.6	NA	NA				
AT1G77300	NA	NA	NA	1.2	NA	NA				
AT1G77310	NA	-1.1	-1.2	-1.5	NA	NA				
AT1G77320	-1.8	-2.1	-1.9	-1.4	NA	NA				
AT1G77330	2.6	3.5	NA	NA	NA	NA				
AT1G77350	NA	NA	-1.2	-2.1	NA	NA				
AT1G77360	NA	1.1	1.5	2.8	NA	NA				
AT1G77370	NA	1.5	2	3.4	NA	NA				
AT1G77390	NA	NA	NA	-2.4	NA	NA				
AT1G77410	1.1	NA	NA	NA	NA	NA				
AT1G77420	NA	NA	-1.3	-1.8	NA	NA				
AT1G77450	3.3	4.7	5.6	8	NA	NA				
AT1G77470	-1.4	-1.4	-1.1	NA	NA	NA				
AT1G77480	1.2	1.8	2.1	1.5	NA	NA				
AT1G77490	NA	-1.2	-1.2	-2.5	NA	NA				
AT1G77500	NA	NA	NA	1.1	NA	NA				
AT1G77510	1.4	NA	NA	NA	NA	NA				
AT1G77520	NA	NA	-2.6	-6.5	1.3	NA	1.4	2.9		
AT1G77525	-6.5	-9.5	-8.9	-9.9	-1.1	NA				
AT1G77530	5.5	4.1	3.5	4	1.9	NA				-1.1
AT1G77540	-1.1	-1.5	NA	NA	NA	NA				
AT1G77550	-2.1	-2.4	-2.8	-2.8	NA	NA				
AT1G77570	NA	NA	1.6	3.4	NA	NA				
AT1G77580	NA	-1.2	-3.1	-6.8	NA	NA	1.4			
AT1G77590	NA	-1.5	-3.1	-7.7	NA	NA		1.5		
AT1G77630	-1.6	-1.5	-1.6	-1.8	NA	NA				
AT1G77640	3	4.1	4.9	NA	NA	NA		1.7		
AT1G77655	NA	NA	NA	NA	NA	2.7	4.9	3.8		1.2
AT1G77660	NA	-4.1	-8	-3.3	NA	NA	1.1			
AT1G77680	NA	NA	1.3	2.2	NA	NA				
AT1G77720	-2.4	-2.8	-2.4	-1.6	NA	NA				
AT1G77740	NA	NA	NA	-2.7	NA	NA				
AT1G77750	-2	-2	-1.7	-1.2	NA	NA				
AT1G77760	NA	1.3	NA	NA	NA	NA				
AT1G77765	NA	NA	-4.4	-4.4	NA	NA				
AT1G77800	NA	1.1	1.6	2.3	NA	NA				
AT1G77810	1.6	1.4	1.3	1.6	NA	NA				
AT1G77855	NA	-1.5	-2.4	-4.3	NA	NA				
AT1G77860	NA	-3.4	-3.7	NA	NA	NA				
AT1G77880	NA	2.6	4.4	5.5	NA	NA				
AT1G77890	1.4	1.5	2.1	2.7	NA	NA				
AT1G77920	3.2	4.8	5.8	7.6	NA	NA	-2	-1.7		
AT1G77930	1.6	2.1	2.6	3.6	NA	NA				
AT1G77940	-1.8	-1.9	-1.6	-1.4	NA	NA				
AT1G77950	10.4	11.9	12.7	13.2	1.8	NA				
AT1G77960	7.6	8.8	9.2	9.2	NA	NA				
AT1G77990	-3.5	-3.6	NA	-4.6	NA	NA				
AT1G78000	NA	2	4.1	4.2	NA	NA				
AT1G78010	-1.4	-1.1	NA	NA	NA	NA				
AT1G78020	-2.3	-2	-1.8	-3.9	NA	NA				
AT1G78040	NA	1.2	1.1	NA	NA	NA				
AT1G78050	NA	NA	NA	-2.2	NA	NA				
AT1G78060	-2.7	-4	-5.1	-8.2	NA	NA				
AT1G78070	NA	2.3	4.2	7.2	NA	NA	-1.4			
AT1G78080	NA	1.2	NA	NA	NA	NA				
AT1G78100	NA	1.4	1.4	2	NA	NA				
AT1G78110	1.8	2.4	2.8	2.7	NA	NA				
AT1G78130	2.5	2.8	3.2	2.9	NA	NA				
AT1G78140	NA	1.6	2.1	2.7	NA	NA				
AT1G78170	NA	NA	NA	-1.8	NA	NA				
AT1G78172	-1.6	-1.5	-1.7	-1.9	NA	NA				
AT1G78180	-1.1	-1.8	-1.9	-1.5	NA	NA				
AT1G78190	-3	-2.7	-2.4	-1.6	NA	NA				
AT1G78206	-3.2	-5.4	-2.8	-3.5	-1.2	NA				
AT1G78210	-1.5	-2	-3.1	-5.8	NA	NA				
AT1G78230	3.7	6	6	4.5	NA	3.8	3.6	4.4	1.2	2.7
AT1G78240	1.5	2	2.1	1.9	NA	NA				
AT1G78260	-1.7	-2.3	NA	NA	NA	NA	1.2			
AT1G78265	NA	1.8	2.1	2.6	NA	NA				
AT1G78270	NA	NA	NA	3	NA	NA				
AT1G78280	NA	1.1	1.5	2.1	NA	NA				
AT1G78300	NA	NA	-1.4	-3.2	NA	NA				
AT1G78310	NA	NA	NA	1.7	NA	NA				
AT1G78320	NA	NA	NA	NA	NA	1.1	3.2	3.6		
AT1G78340	NA	NA	NA	2	NA	NA				
AT1G78350	NA	NA	3.8	6.4	NA	NA				
AT1G78360	NA	NA	2.2	NA	NA	NA				
AT1G78370	NA	-1.4	-3.3	-6.5	NA	NA	1.1			
AT1G78390	4.7	6.8	7.4	7	NA	NA				
AT1G78420	NA	1.2	2.1	2.7	NA	NA				
AT1G78430	-3.4	-5.5	-6.9	-10.5	NA	NA				
AT1G78460	-2.6	-2.9	-3.6	-4.7	NA	NA				
AT1G78478	NA	2.1	2.9	2.7	NA	NA				
AT1G78500	8.2	8.5	8.6	7.3	3	NA		1.2	2.1	1.1
AT1G78520	-3.6	-5.8	-7.3	-8	NA	NA	2			
AT1G78550	NA	1.4	1.6	2	NA	NA				
AT1G78570	NA	NA	-1.4	-1.7	NA	NA				
AT1G78580	2	2.8	2.9	2.7	NA	NA				
AT1G78590	NA	1.1	1.4	1.9	NA	NA				
AT1G78600	1.5	1.7	2.1	3.9	NA	NA				
AT1G78610	NA	-1.5	-2.5	-3.5	NA	NA				
AT1G78630	-2.5	-4.2	-4.2	-3.6	NA	NA				
AT1G78650	-1.3	-1.7	-2.1	-2.6	NA	NA				
AT1G78660	-1.8	-1.8	-1.6	-2.2	NA	NA				
AT1G78670	-1.4	NA	NA	-5	NA	NA				
AT1G78680	-2	NA	-2.2	-6.4	NA	NA				
AT1G78750	-3.8	-4	-4.3	-4.3	NA	NA				
AT1G78760	2.1	1.2	NA	-6.8	NA	NA	1.9			
AT1G78770	-3.2	-3.8	-4.2	-3.9	NA	NA				
AT1G78780	NA	NA	2.2	6.2	NA	NA				
AT1G78820	-6	-6.5	-7.6	-7.6	NA	NA				
AT1G78830	-2.4	-2.7	-2.3	NA	NA	NA				
AT1G78850	-2.2	-2.8	-4	NA	NA	NA				
AT1G78860	-3.9	-6.6	-9.4	-9.4	NA	NA				
AT1G78865	-2.4	-4	-5.5	-9.3	NA	NA				
AT1G78895	1.2	1.5	1.5	1.3	NA	NA				
AT1G78915	-1.3	-2.4	-2.2	-1.4	NA	NA				
AT1G78930	-1.5	NA	NA	1.2	NA	NA				
AT1G78950	NA	NA	-2.1	-4.1	NA	NA				
AT1G78960	NA	NA	1.1	1.8	NA	2	1.2			
AT1G78970	5.6	3.4	NA	NA	2.5	2.9	1.9	1.6		1.4
AT1G78990	2.1	NA	NA	NA	NA	NA				
AT1G78995	NA	-1.9	-2.7	-3.1	NA	NA				
AT1G79000	NA	1.2	1.5	1.5	NA	NA				
AT1G79020	-1.1	-1.1	NA	NA	NA	NA				
AT1G79040	NA	-1.2	-2.8	-5.7	NA	NA	1.1			
AT1G79050	-1.7	-2	-1.8	-1.1	NA	NA				
AT1G79060	NA	-1.2	-2.4	-6.2	NA	NA		1.4		
AT1G79070	NA	NA	NA	-1.3	NA	NA				
AT1G79075	-1.4	-1.4	-1.7	-2.4	NA	NA				
AT1G79080	NA	-1.1	-1.8	-2.5	NA	NA				
AT1G79100	NA	NA	-4.3	-5.1	NA	NA				
AT1G79110	NA	NA	NA	-2.7	NA	NA				
AT1G79120	NA	NA	1.5	NA	NA	NA				
AT1G79150	-2.3	-1.7	-1.3	NA	NA	NA				
AT1G79170	1.8	1.5	NA	-1.6	NA	NA				
AT1G79210	NA	-1.1	-1.1	NA	NA	NA				
AT1G79230	NA	1.2	1.7	2.2	NA	NA				
AT1G79245	2.3	3.6	4.1	3.9	NA	NA				
AT1G79260	-2	-2.3	-2.7	-2.1	NA	NA				
AT1G79270	NA	NA	NA	7.1	NA	NA				
AT1G79340	NA	NA	NA	-1.9	NA	NA				
AT1G79360	1.7	1.9	1.6	1.5	NA	NA				
AT1G79380	1.2	NA	NA	1.3	NA	NA				
AT1G79390	-1.3	-1.1	NA	NA	NA	NA				
AT1G79420	NA	NA	-1.4	-2.8	NA	NA				
AT1G79430	8.2	9.6	9.6	7.6	NA	NA		1.1		
AT1G79440	1.6	2	2.6	2.6	NA	NA				
AT1G79450	1.9	4.5	4.3	2.6	NA	NA				
AT1G79460	1.1	NA	NA	NA	NA	NA				
AT1G79470	-2.9	-2.3	-2.4	-1.4	NA	NA				
AT1G79480	NA	NA	4.6	NA	NA	NA				
AT1G79490	-1.2	NA	NA	NA	NA	NA				
AT1G79500	NA	NA	-1.3	-2.8	NA	NA				
AT1G79510	NA	NA	1.1	1.2	NA	NA				
AT1G79520	-3.4	-3.3	-3.8	-2.1	NA	1.9	1.6		1.7	1.9
AT1G79530	-2.5	-3.3	-3.5	-2.5	NA	NA				
AT1G79550	NA	-1.4	-1.9	-2.2	NA	NA				
AT1G79560	-2.4	-2.5	-2.1	-2	NA	NA				
AT1G79580	1.1	NA	NA	-2.8	NA	NA		1.7		
AT1G79590	NA	NA	1.2	1.6	NA	NA				
AT1G79600	NA	NA	NA	1.8	NA	NA				
AT1G79610	1.1	1.4	1.3	1.1	NA	NA				
AT1G79630	NA	NA	1.3	NA	NA	NA				
AT1G79640	NA	-1.5	-1.8	-2.3	NA	NA	2			
AT1G79660	NA	NA	1.1	1.5	NA	NA				
AT1G79680	NA	NA	NA	4.5	NA	NA				
AT1G79690	3.4	4.4	4.3	2.3	NA	NA				
AT1G79700	NA	3.1	3.8	2	NA	NA				
AT1G79710	-1.2	-1.3	-1.8	-2.6	NA	NA				
